epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,291.925,0.6862,0.91738,1.08154,0.85166,0.47339,0.67904,0.38865,1.67131,1.86886,1.43624,2.75753e-05,2.75753e-05,2.75753e-05
67,295.606,0.74023,1.12606,1.10817,0.85166,0.47339,0.67904,0.38865,1.67131,1.86886,1.43624,2.7222e-05,2.7222e-05,2.7222e-05
68,299.422,1.05803,1.81891,1.42028,0.85166,0.47339,0.67904,0.38865,1.67131,1.86886,1.43624,2.68451e-05,2.68451e-05,2.68451e-05
69,303.179,0.62887,1.08349,1.11959,0.84685,0.47132,0.56994,0.29658,1.66491,1.90854,1.425,2.64447e-05,2.64447e-05,2.64447e-05
70,306.678,0.98563,0.88495,1.43063,0.84685,0.47132,0.56994,0.29658,1.66491,1.90854,1.425,2.60207e-05,2.60207e-05,2.60207e-05
71,310.412,0.95079,1.31682,1.31557,0.84685,0.47132,0.56994,0.29658,1.66491,1.90854,1.425,2.55731e-05,2.55731e-05,2.55731e-05
72,314.071,0.59616,0.64272,1.07837,0.84801,0.46486,0.53888,0.27123,1.69161,1.9373,1.4336,2.5102e-05,2.5102e-05,2.5102e-05
73,318.004,0.68698,0.90321,1.04612,0.84801,0.46486,0.53888,0.27123,1.69161,1.9373,1.4336,2.46073e-05,2.46073e-05,2.46073e-05
74,321.623,0.72758,0.59121,1.20659,0.84801,0.46486,0.53888,0.27123,1.69161,1.9373,1.4336,2.40891e-05,2.40891e-05,2.40891e-05
75,325.673,0.72619,0.55226,1.13606,0.84334,0.47057,0.53693,0.28823,1.70742,1.92424,1.4362,2.35472e-05,2.35472e-05,2.35472e-05
76,329.325,0.63475,0.72972,1.12732,0.84334,0.47057,0.53693,0.28823,1.70742,1.92424,1.4362,2.29819e-05,2.29819e-05,2.29819e-05
77,333.017,0.67727,0.65459,1.11176,0.84334,0.47057,0.53693,0.28823,1.70742,1.92424,1.4362,2.23929e-05,2.23929e-05,2.23929e-05
78,337.05,0.87479,1.0006,1.187,0.83958,0.46084,0.5438,0.27815,1.68828,1.95139,1.43371,2.17805e-05,2.17805e-05,2.17805e-05
79,340.777,0.6091,0.81841,1.10648,0.83958,0.46084,0.5438,0.27815,1.68828,1.95139,1.43371,2.11444e-05,2.11444e-05,2.11444e-05
80,344.419,0.68747,0.735,1.15092,0.83958,0.46084,0.5438,0.27815,1.68828,1.95139,1.43371,2.04848e-05,2.04848e-05,2.04848e-05
81,348.386,0.51694,0.50397,0.97355,0.84129,0.45097,0.53393,0.25898,1.74035,2.00115,1.45903,1.98016e-05,1.98016e-05,1.98016e-05
82,351.918,0.81228,0.68222,1.14426,0.84129,0.45097,0.53393,0.25898,1.74035,2.00115,1.45903,1.90949e-05,1.90949e-05,1.90949e-05
83,355.645,0.78317,0.81852,1.21089,0.84129,0.45097,0.53393,0.25898,1.74035,2.00115,1.45903,1.83646e-05,1.83646e-05,1.83646e-05
84,359.513,0.77956,0.57413,1.19658,0.84552,0.47806,0.53445,0.26756,1.79932,2.02863,1.48516,1.76107e-05,1.76107e-05,1.76107e-05
85,363.13,0.5872,0.73305,1.12086,0.84552,0.47806,0.53445,0.26756,1.79932,2.02863,1.48516,1.68333e-05,1.68333e-05,1.68333e-05
86,366.913,0.7426,0.65819,1.10004,0.84552,0.47806,0.53445,0.26756,1.79932,2.02863,1.48516,1.60323e-05,1.60323e-05,1.60323e-05
87,370.584,0.75766,0.78311,1.05607,0.84552,0.47806,0.53445,0.26756,1.79932,2.02863,1.48516,1.52077e-05,1.52077e-05,1.52077e-05
88,374.082,0.80258,0.89411,1.38714,0.84524,0.4773,0.52405,0.27855,1.8023,2.04672,1.49213,1.43596e-05,1.43596e-05,1.43596e-05
89,377.922,0.95501,0.99591,1.45999,0.84524,0.4773,0.52405,0.27855,1.8023,2.04672,1.49213,1.34879e-05,1.34879e-05,1.34879e-05
90,381.549,0.69729,0.61827,1.04427,0.84524,0.4773,0.52405,0.27855,1.8023,2.04672,1.49213,1.25927e-05,1.25927e-05,1.25927e-05
91,385.416,0.47151,0.53012,0.89237,0.84524,0.4773,0.52405,0.27855,1.8023,2.04672,1.49213,1.16739e-05,1.16739e-05,1.16739e-05
92,389.259,0.71061,0.70582,0.99519,0.83572,0.4862,0.53406,0.28759,1.79323,1.98139,1.46991,1.07315e-05,1.07315e-05,1.07315e-05
93,393.168,0.47232,0.45825,0.97957,0.83572,0.4862,0.53406,0.28759,1.79323,1.98139,1.46991,9.76562e-06,9.76562e-06,9.76562e-06
94,396.881,0.54119,0.44528,0.88297,0.83572,0.4862,0.53406,0.28759,1.79323,1.98139,1.46991,8.77613e-06,8.77613e-06,8.77613e-06
95,400.81,0.44884,0.45535,0.90206,0.83572,0.4862,0.53406,0.28759,1.79323,1.98139,1.46991,7.76308e-06,7.76308e-06,7.76308e-06
96,404.464,0.4366,0.50982,0.96011,0.84147,0.46991,0.55827,0.30696,1.77224,1.91335,1.45401,6.72648e-06,6.72648e-06,6.72648e-06
97,408.172,0.68854,0.61738,1.04137,0.84147,0.46991,0.55827,0.30696,1.77224,1.91335,1.45401,5.6663e-06,5.6663e-06,5.6663e-06
98,412.008,0.52387,0.49108,0.91188,0.84147,0.46991,0.55827,0.30696,1.77224,1.91335,1.45401,4.58257e-06,4.58257e-06,4.58257e-06
99,415.602,0.47672,0.47476,0.91131,0.84147,0.46991,0.55827,0.30696,1.77224,1.91335,1.45401,3.47528e-06,3.47528e-06,3.47528e-06
100,419.381,0.56149,0.5054,0.99716,0.8262,0.46667,0.60862,0.3511,1.70649,1.84607,1.41669,2.34442e-06,2.34442e-06,2.34442e-06
